1,2,3,4,5,6
10,0.1,0.006,2.553817829,10,"[1138, 1250, 1251, 1252, 1302, 1303, 1353, 1354, 1675, 1784]"
10,0.25,0.006,2.553817829,10,"[1138, 1250, 1251, 1252, 1302, 1303, 1353, 1354, 1675, 1784]"
10,0.5,0.006,2.553817829,10,"[1138, 1250, 1251, 1252, 1302, 1303, 1353, 1354, 1675, 1784]"
10,0.75,0.006,2.171663518,10,"[1101, 1138, 1200, 1250, 1251, 1252, 1300, 1302, 1676, 1784]"
10,1.0,0.006,0.789172903,10,"[1137, 1138, 1444, 1486, 1487, 1690, 1734, 1735, 1784, 1785]"
20,0.1,0.006,3.4122410070000004,20,"[1008, 1062, 1072, 1101, 1138, 1200, 1250, 1251, 1252, 1300, 1302, 1303, 1353, 1354, 1675, 1676, 1734, 1735, 1784, 1816]"
20,0.25,0.006,3.4079338350000006,20,"[1008, 1062, 1101, 1138, 1200, 1201, 1250, 1251, 1252, 1300, 1302, 1303, 1353, 1354, 1675, 1676, 1734, 1735, 1784, 1816]"
20,0.5,0.006,3.3690857880000005,20,"[1008, 1101, 1137, 1138, 1200, 1201, 1250, 1251, 1252, 1300, 1302, 1303, 1353, 1354, 1675, 1676, 1734, 1735, 1784, 1816]"
20,0.75,0.006,2.696200413,20,"[706, 1101, 1137, 1138, 1151, 1152, 1200, 1201, 1250, 1251, 1252, 1300, 1302, 1444, 1676, 1725, 1734, 1735, 1784, 1968]"
20,1.0,0.006,1.013618212,20,"[1087, 1137, 1138, 1290, 1298, 1444, 1448, 1486, 1487, 1540, 1592, 1688, 1690, 1734, 1735, 1784, 1785, 2175, 2176, 2232]"
25,0.1,0.006,3.6787334210000004,25,"[706, 1008, 1062, 1072, 1101, 1137, 1138, 1151, 1200, 1201, 1250, 1251, 1252, 1300, 1302, 1303, 1353, 1354, 1514, 1675, 1676, 1734, 1735, 1784, 1816]"
25,0.25,0.006,3.6549834410000006,25,"[706, 1008, 1062, 1101, 1137, 1138, 1151, 1152, 1200, 1201, 1250, 1251, 1252, 1300, 1302, 1303, 1353, 1354, 1514, 1675, 1676, 1734, 1735, 1784, 1816]"
25,0.5,0.006,3.593442029,25,"[706, 1008, 1101, 1137, 1138, 1151, 1152, 1200, 1201, 1250, 1251, 1252, 1300, 1302, 1303, 1353, 1354, 1444, 1675, 1676, 1734, 1735, 1784, 1816, 1968]"
25,0.75,0.006,2.8700284710000004,25,"[706, 805, 1101, 1137, 1138, 1151, 1152, 1200, 1201, 1250, 1251, 1252, 1300, 1302, 1444, 1453, 1486, 1676, 1690, 1725, 1734, 1735, 1784, 1785, 1968]"
25,1.0,0.006,1.0939397929999997,25,"[1087, 1137, 1138, 1290, 1298, 1444, 1448, 1486, 1487, 1538, 1540, 1592, 1688, 1690, 1730, 1734, 1735, 1782, 1784, 1785, 1985, 2175, 2176, 2232, 2481]"
50,0.1,0.006,4.475961281,50,"[417, 560, 706, 756, 775, 803, 805, 854, 1008, 1062, 1072, 1101, 1130, 1137, 1138, 1151, 1152, 1200, 1201, 1202, 1208, 1250, 1251, 1252, 1298, 1300, 1302, 1303, 1351, 1353, 1354, 1444, 1453, 1486, 1487, 1514, 1570, 1592, 1675, 1676, 1690, 1725, 1734, 1735, 1784, 1785, 1815, 1816, 1968, 2176]"
50,0.25,0.006,4.433964715999999,50,"[417, 560, 706, 756, 775, 803, 805, 854, 1008, 1062, 1101, 1130, 1137, 1138, 1151, 1152, 1200, 1201, 1202, 1208, 1250, 1251, 1252, 1298, 1300, 1302, 1303, 1351, 1353, 1354, 1444, 1453, 1486, 1487, 1514, 1540, 1570, 1592, 1675, 1676, 1690, 1725, 1734, 1735, 1784, 1785, 1815, 1816, 1968, 2176]"
50,0.5,0.006,4.294307964999999,50,"[560, 706, 756, 803, 805, 852, 853, 854, 1008, 1101, 1130, 1137, 1138, 1151, 1152, 1200, 1201, 1202, 1250, 1251, 1252, 1257, 1298, 1300, 1302, 1303, 1351, 1353, 1354, 1444, 1448, 1453, 1486, 1487, 1540, 1592, 1675, 1676, 1690, 1725, 1726, 1734, 1735, 1784, 1785, 1815, 1816, 1968, 2013, 2176]"
50,0.75,0.006,3.456163175999999,50,"[706, 756, 803, 805, 852, 853, 854, 903, 904, 951, 952, 1084, 1087, 1101, 1137, 1138, 1151, 1152, 1200, 1201, 1202, 1250, 1251, 1252, 1298, 1300, 1302, 1351, 1444, 1448, 1453, 1482, 1486, 1487, 1540, 1592, 1676, 1688, 1690, 1725, 1726, 1728, 1734, 1735, 1784, 1785, 1968, 2013, 2175, 2176]"
50,1.0,0.006,1.409961705,50,"[750, 1037, 1087, 1088, 1137, 1138, 1139, 1142, 1187, 1290, 1298, 1347, 1390, 1437, 1444, 1445, 1448, 1486, 1487, 1488, 1493, 1538, 1540, 1542, 1587, 1592, 1593, 1638, 1682, 1687, 1688, 1690, 1692, 1693, 1730, 1734, 1735, 1741, 1782, 1784, 1785, 1936, 1985, 2027, 2072, 2076, 2175, 2176, 2232, 2481]"
